fighter,age,height,reach,slpm,stac,sapm,tdavg,tdacc,tddef,subavg,wins,losses,draws
Robert Bryczek,33.0,72,75,2.13,24,60,0.0,0,10,0.0,17,6,0
Andy Ogle,35.0,68,69,2.24,44,50,1.44,26,58,0.0,9,6,0
George Sullivan,42.0,72,73,3.53,39,57,1.37,20,38,0.7,17,7,0
Jordan Williams,33.0,73,75,5.83,50,35,1.11,50,85,0.0,9,6,0
Mike Breeden,34.0,70,70,5.75,45,42,0.98,30,67,0.0,11,6,0
Robert Whiteford,40.0,69,69,2.33,46,62,1.9,30,45,0.0,14,4,0
Bartosz Fabinski,37.0,72,75,2.23,68,51,7.1,70,80,0.0,15,5,0
Mark Godbeer,40.0,76,77,3.97,53,54,0.0,0,28,0.0,13,4,0
Thiago Alves,40.0,69,70,3.73,41,62,0.71,60,63,0.3,23,15,0
Ihor Potieria,27.0,75,75,5.19,50,51,0.0,0,57,0.0,20,5,0
Alex Serdyukov,43.0,74,74,4.94,48,46,1.84,55,67,1.8,8,5,0
Joe Soto,36.0,66,65,3.36,41,67,0.85,21,70,1.9,18,7,0
Thiago Tavares,39.0,67,70,2.0,40,62,3.83,42,62,1.5,21,7,1
Matt Wiman,40.0,70,68,3.17,50,51,2.13,37,56,1.5,16,10,0
Aaron Rosa,40.0,76,77,4.03,47,45,0.36,33,85,0.4,18,6,0
Andre Soukhamthath,35.0,69,70,2.77,44,49,1.25,53,58,0.2,13,8,0
Denis Tiuliulin,35.0,73,77,4.5,41,36,0.0,0,73,0.0,10,9,0
Erik Koch,35.0,70,71,2.33,42,47,1.02,42,81,1.0,16,6,0
Daichi Abe,32.0,71,71,3.8,33,56,0.33,50,0,0.0,6,2,0
Anthony Johnson,40.0,74,78,3.25,47,60,2.43,57,77,0.6,22,6,0
Joanne Wood,38.0,66,65,6.93,51,51,1.57,54,59,0.3,16,8,0
Zelim Imadaev,29.0,72,76,2.91,36,43,0.38,50,60,0.0,8,3,0
Abubakar Nurmagomedov,34.0,71,72,2.78,53,65,1.25,22,88,0.0,17,4,1
Charles Oliveira,34.0,70,74,3.54,53,51,2.32,40,55,2.7,34,9,0
Macy Chiasson,32.0,71,72,3.64,44,46,2.17,34,64,0.3,9,3,0
Mauricio Rua,42.0,73,76,3.57,50,54,2.01,48,49,0.7,27,14,1
Antonina Shevchenko,39.0,68,67,3.86,55,52,0.43,42,53,0.4,10,4,0
Marco Polo Reyes,39.0,71,71,6.0,37,59,0.0,0,46,0.0,8,7,0
Khamzat Chimaev,29.0,74,75,5.72,58,42,3.99,46,10,2.7,13,0,0
Chris Daukaus,34.0,75,76,6.05,50,55,0.0,0,10,0.0,12,7,0
Mariya Agapova,26.0,66,68,4.67,55,52,0.59,66,47,0.9,10,4,0
Alex Reyes,37.0,71,73,4.04,39,40,0.0,0,0,0.0,13,4,0
Carlos Huachin,27.0,64,67,2.1,21,50,0.0,0,66,0.0,10,5,1
Angela Magana,40.0,61,65,1.53,28,42,0.4,25,28,0.4,11,9,0
John Alessio,44.0,70,72,2.1,39,54,1.85,38,70,1.2,35,17,0
Mark De La Rosa,29.0,66,65,3.13,35,48,0.54,13,40,0.2,11,5,0
AJ Cunningham,29.0,70,71,7.58,24,54,0.0,0,0,0.0,10,3,0
Curtis Blaydes,33.0,76,80,3.56,49,59,5.93,53,33,0.0,17,4,0
CM Punk,45.0,73,73,1.1,23,40,0.87,11,0,0.0,0,1,0
Shuya Kamikubo,30.0,65,68,3.83,54,47,1.5,15,0,0.5,13,2,1
Chelsea Hackett,25.0,64,66,2.58,51,46,0.0,0,57,0.0,3,1,1
Norifumi Yamamoto,46.0,64,66,2.09,45,57,0.41,22,45,0.0,18,6,0
Mostapha Al-Turk,50.0,74,77,1.36,19,53,0.0,0,0,0.0,6,6,0
Ashiek Ajim,29.0,68,71,5.0,40,25,0.0,0,0,0.0,6,2,0
Petr Yan,31.0,67,67,5.03,53,59,1.71,52,85,0.1,16,5,0
Ibo Aslan,27.0,75,77,8.87,72,63,0.0,0,0,0.0,12,1,0
